1879.88,0
4814.45,1
1420.90,1
1401.37,2
1376.95,3
4287.11,3
3803.71,10
1406.25,22
39.06,32
3266.60,45
39.06,56
48.83,66
39.06,76
34.18,86
39.06,97
34.18,108
39.06,119
39.06,130
39.06,142
39.06,153
39.06,164
43.95,176
34.18,188
39.06,199
39.06,210
39.06,222
39.06,234
39.06,245
39.06,256
34.18,268
39.06,279
39.06,290
39.06,302
39.06,314
39.06,325
39.06,336
39.06,347
34.18,359
43.95,371
34.18,382
43.95,394
39.06,405
53.71,416
43.95,427
48.83,440
34.18,451
39.06,462
39.06,473
39.06,485
34.18,496
34.18,508
39.06,520
34.18,531
39.06,542
39.06,553
39.06,565
2265.62,579
39.06,590
4697.27,603
43.95,615
43.95,626
3071.29,640
39.06,652
39.06,663
39.06,674
39.06,685
39.06,697
43.95,709
43.95,720
39.06,731
39.06,743
39.06,754
39.06,766
39.06,778
39.06,789
39.06,800
39.06,811
39.06,823
39.06,835
43.95,846
43.95,857
39.06,869
34.18,880
43.95,891
34.18,904
43.95,915
34.18,926
34.18,937
24.41,949
39.06,960
39.06,972
34.18,983
43.95,995
39.06,1006
39.06,1018
39.06,1030
34.18,1044
39.06,1056
68.36,1068
34.18,1081
39.06,1093
39.06,1106
4702.15,1121
2822.27,1135
820.31,1148
39.06,1161
39.06,1174
39.06,1186
43.95,1198
39.06,1211
39.06,1223
34.18,1236
39.06,1249
34.18,1261
39.06,1273
63.48,1285
39.06,1299
39.06,1311
39.06,1323
34.18,1336
39.06,1348
39.06,1360
39.06,1374
39.06,1386
39.06,1398
34.18,1410
39.06,1423
39.06,1436
34.18,1448
39.06,1461
43.95,1473
39.06,1485
34.18,1498
39.06,1511
39.06,1523
39.06,1535
39.06,1548
39.06,1560
39.06,1573
34.18,1585
39.06,1598
39.06,1610
39.06,1622
39.06,1636
39.06,1648
34.18,1660
39.06,1673
39.06,1685
39.06,1698
39.06,1710
39.06,1723
39.06,1735
1733.40,1749
4711.91,1765
39.06,1777
4067.38,1791
87.89,1804
39.06,1816
39.06,1828
39.06,1841
39.06,1854
34.18,1866
39.06,1878
43.95,1891
39.06,1904
39.06,1916
39.06,1929
39.06,1941
39.06,1953
39.06,1966
34.18,1979
39.06,1991
39.06,2003
43.95,2016
39.06,2028
34.18,2041
39.06,2053
34.18,2066
39.06,2078
39.06,2090
39.06,2104
39.06,2116
39.06,2128
39.06,2141
39.06,2153
39.06,2166
39.06,2178
39.06,2191
39.06,2203
34.18,2215
43.95,2228
39.06,2241
39.06,2253
39.06,2265
39.06,2278
39.06,2290
39.06,2303
39.06,2316
34.18,2328
39.06,2340
1254.88,2355
34.18,2368
4741.21,2382
1723.63,2397
4687.50,2411
43.95,2423
39.06,2436
34.18,2449
43.95,2461
39.06,2473
34.18,2486
39.06,2499
39.06,2511
39.06,2523
39.06,2536
39.06,2548
43.95,2560
39.06,2574
39.06,2586
39.06,2598
39.06,2611
39.06,2623
39.06,2636
39.06,2648
39.06,2661
39.06,2673
39.06,2685
39.06,2699
39.06,2711
39.06,2723
39.06,2735
39.06,2748
39.06,2760
39.06,2773
43.95,2786
39.06,2798
39.06,2810
39.06,2822
39.06,2836
34.18,2848
39.06,2860
34.18,2873
39.06,2885
39.06,2898
39.06,2911
4819.34,2925
39.06,2937
39.06,2949
39.06,2963
43.95,2975
34.18,2987
39.06,3000
39.06,3012
48.83,3024
39.06,3038
39.06,3050
39.06,3062
43.95,3074
43.95,3087
39.06,3100
39.06,3112
43.95,3125
39.06,3137
39.06,3149
39.06,3162
39.06,3175
39.06,3187
39.06,3199
39.06,3212
39.06,3224
34.18,3237
39.06,3249
39.06,3262
39.06,3274
39.06,3286
39.06,3300
39.06,3312
39.06,3324
39.06,3337
39.06,3349
39.06,3362
43.95,3374
34.18,3387
39.06,3399
34.18,3411
39.06,3424
34.18,3437
39.06,3449
39.06,3461
39.06,3474
39.06,3486
39.06,3499
39.06,3512
34.18,3524
39.06,3536
39.06,3549
39.06,3562
43.95,3574
43.95,3586
43.95,3599
39.06,3611
39.06,3623
34.18,3637
39.06,3649
39.06,3661
39.06,3673
39.06,3686
39.06,3699
43.95,3711
39.06,3724
39.06,3736
39.06,3748
39.06,3761
34.18,3774
43.95,3786
39.06,3798
39.06,3811
39.06,3823
39.06,3836
39.06,3849
39.06,3861
39.06,3873
39.06,3885
34.18,3899
39.06,3911
39.06,3923
43.95,3936
39.06,3948
43.95,3961
43.95,3973
34.18,3986
58.59,3998
39.06,4010
39.06,4023
39.06,4036
43.95,4048
39.06,4061
39.06,4073
39.06,4085
39.06,4098
39.06,4111
39.06,4123
39.06,4135
39.06,4148
39.06,4161
43.95,4173
39.06,4185
39.06,4198
39.06,4210
39.06,4222
39.06,4236
39.06,4248
48.83,4260
39.06,4272
39.06,4285
39.06,4298
39.06,4310
34.18,4323
39.06,4335
39.06,4347
39.06,4361
39.06,4373
43.95,4385
39.06,4397
39.06,4410
39.06,4422
34.18,4435
39.06,4448
39.06,4460
34.18,4472
48.83,4484
39.06,4498
